Username,Create Time,Teks
M45Broo_,Thu Feb 27 07:09:22 +0000 2025,indonesia gelap apa indonesia terang nih gaes
larikcahaya,Fri Feb 21 03:55:04 +0000 2025,buka lowong kerja posisi rakyat indonesiagelap
ilhampid,Thu Feb 20 10:12:45 +0000 2025,aksi indonesiagelap papua gabung masyarakat mahasiswa anak smp sma bahkan anak sd ikut libat polisi guna dekat senjata api bubar massa heh ndasmu mikir pora demo hak ada batas usia periode gelap bijak
neVerAl0nely,Mon Feb 24 11:18:41 +0000 2025,makasar aksi indonesia gelap mahasiswa langsung malam di jalan urip sumoahrjo
Yurissa_Samosir,Tue Feb 25 23:47:10 +0000 2025,tahu gak pak apa yg maksud indonesia gelap banyak rakyat yg anggur banyak korupsi belum di atas didik mahal dulu mulyono bilang indonesia roket fakta sembako masih mahal gak usah omon omon pak
tilehopper,Sat Feb 22 11:13:26 +0000 2025,okay gue udah abis baca artikel dapat gue atas framing cnn nyaris semua berita demo indonesiagelap luar jakarta framingnya negatif artikel cnn indonesia rilis satu fokus poin tuntut dari juru bicara aksi massa
S4N_W1B1,Sat Feb 22 05:15:52 +0000 2025,bandung panas demo aksi mahasiswa indonesia gelap bandung bener seru amp kereeen ayo semangat adhek mahasiswa bendera monako bendera monako adilijokowihargamati indonesiagelap ndasmu sampaimenang
ArdieSuhardi321,Tue Feb 25 11:04:11 +0000 2025,ada kata capek makzul prabowo gibran perempuan nekat maki orabowo depan istana negara aksi demo indonesia gelap tanda seru ganda danantarakonspirasijahat danantarakonspirasijahat tombol sos tombol
MARQUEZ__93,Fri Feb 21 14:11:42 +0000 2025,demo indonesia gelap mahasiswa hingga malam tahan patung kuda ayo mahasiswa jangan kendor negeri ada atas pundak kalian bendera indonesia bendera indonesia
Ndrewstjan,Wed Feb 26 18:37:44 +0000 2025,barusan informasi soal kondisi jepang nyata kondisi ekonomi jepang gelap malah lebih gelap dri indonesia kalau soal inflasi harga beras sangat seram bulan
Y_Radianto,Wed Feb 26 12:08:00 +0000 2025,budi arie sayang mulyono nyata sekali dia bukan agen gas melon indonesiagelap kaburajadulu
BBCIndonesia,Mon Feb 17 12:14:35 +0000 2025,bem universitas indonesia aksi indonesiagelap muncul banyak bijak ugal ugalan nirsubstansi sebab derita rakyat terus lanjut
barengwarga,Wed Feb 19 08:56:15 +0000 2025,cuma dapet gapok juta bulan indonesiagelap
sihanjir,Tue Feb 25 10:29:54 +0000 2025,lucu aja abis indonesiagelap gk lama umum danantara trus langsung pindah kasus korupsi pertamina akan semua dijadwalin postingannya buat tutup engagement yg
choymarkochoy,Fri Feb 21 03:46:34 +0000 2025,apa yg rasa apabila garuda luka peluk tshirt yg pakai pak indonesiagelap
CutSarina5,Thu Feb 27 02:51:09 +0000 2025,bangun orang waras jangan sesat buzzer bangsat narasi sesat kalian lupa siapa mulyono korup occrp indonesia gelap bangun orang waras methosa band
Chynthia_K,Thu Feb 20 23:04:05 +0000 2025,tanda tanda sama lukis takut sama lagu takut sama tulis tembok takut parjo aktif masuk bumn parcok aktif masuk lembaga aparat jadi alat pukul cuma omon omon warkop aja yg larang rezim ndasmu indonesiagelap
Chynthia_K,Sat Feb 22 14:31:45 +0000 2025,bukan maen niat banget mulyono bangun dinasti pake apbn buat amputasi kpk indonesiagelap
HisyamMochtar,Mon Feb 24 11:38:43 +0000 2025,lihat sekali temasek kelola profesional danantara lihat susun urus aja udah bikin ngelus dada gimana seperti temasek indonesiagelap
abdullll85,Fri Feb 21 13:30:31 +0000 2025,aksi mahasiswa patung kuda malam sayang prabowo tak mau temu demo persis jokowi bisa cuma kerahin polisi panjang umur juang indonesiagelap darkindonesia ugdarurat kamibersamasukatani
tekarok007,Tue Feb 25 02:03:09 +0000 2025,benar benar indonesiagelap siang demo malam dugem mau jadi apa bangsa dengan kualitas mahasewa ini benar benar gelap
ch_chotimah2,Mon Feb 24 01:24:31 +0000 2025,kata mulyono cebokernya retreat penting rakyat gilir tanya bagi mana untuk penting rakyat ceboker ga yg jawab ndasmu indonesiagelap retreat menteri retreat kpl daerah
ch_chotimah2,Mon Feb 24 01:52:18 +0000 2025,jujur aja unk video yg akhir anak sy yg kelas sd lebih pintar mereka indonesia emas ndasmu ada indonesiagelap
S4N_W1B1,Mon Feb 24 10:20:35 +0000 2025,ayo semua suara indonesiagelap biar orang perintah yg arogan tahu kalau hidup indonesia benar susah adilijokowihargamati
BebySoSweet,Fri Feb 28 02:43:15 +0000 2025,nyata nyata bintang sinar langit koruptor gaess indonesiagelap ga heran mafia migas tak sentuh
YLBHI,Mon Feb 24 13:31:38 +0000 2025,asta bencana paham indonesiagelap lalu masalah aksi massa indonesiagelap jadi beberapa hari beberapa tempat jadi tambah amunisi semangat gera lawan ketidakadilan bijak perintah tak pihak sejahtera
cobeh2022,Sun Feb 23 08:44:15 +0000 2025,bagaimana saya percaya rezim akan benar kalau presiden malah teriak hidup jokowi feri amsari indonesia gelap
nu_online,Sat Feb 22 13:13:31 +0000 2025,aksi indonesia gelap upaya edukasi kritis kondisi sosial politik demokrasi utas nuonline
BiLLRaY2019,Fri Feb 28 14:30:11 +0000 2025,maklum negara antah antah selalu rakyat jadi korban urus pagar laut selesai muncul lpg kg hilang pasar lalu muncul pertamax oplos omon omon negara ada yg ngurus gak sih toloooooong ndasmu indonesiagelap
CutSarina5,Sat Feb 22 04:27:38 +0000 2025,ama lagu takut ama lukis takut takut buku takut karya seni lain aduh aduh aduh indonesia gelap coy yg ngak gelap korupsi uang rakyat jancok
ApriliaLin,Thu Feb 27 04:35:27 +0000 2025,puan pramono salah satu alas dpr tolak ruu sita aset mahasiswa kemaren teriak teriak indonesia gelap
kevinpramudya_,Sat Feb 22 04:34:05 +0000 2025,dapet dm dikatain fotografer bayar ikut aksi indonesiagelap kemarin akwowkwowkwo yaelah bang datang jauh jauh sendiri semarang kamera hampir rusak hujan semua bukan cuma dar dokumentasiin juang teman teman jalan juga
nctzenhumanity,Fri Feb 21 06:04:55 +0000 2025,ambulance x taman ismail marzuki indonesiagelap
Mdy_Asmara1701,Fri Feb 21 12:20:41 +0000 2025,merinding sih indonesiagelap
Mdy_Asmara1701,Fri Feb 21 08:02:55 +0000 2025,panjang umur juang indonesiagelap
KontraS,Fri Feb 21 07:40:38 +0000 2025,yang banyak pihak prediksi indonesiagelap
barengwarga,Fri Feb 21 05:38:56 +0000 2025,siar pers bareng warga terang tuntut aksi indonesiagelap
kevinpramudya_,Fri Feb 21 07:47:36 +0000 2025,situasi kini depan patung kuda indonesiagelap
KontraS,Fri Feb 21 10:27:41 +0000 2025,solidaritas antar warga aksi indonesiagelap
humaniesproject,Fri Feb 21 06:43:39 +0000 2025,rapat rapat bareng kawal agenda hari indonesiagelap
elisa_jkt,Fri Feb 21 09:47:25 +0000 2025,bayarbayarbayar indonesiagelap
yeursputnik,Fri Feb 21 09:55:22 +0000 2025,yuk bareng guling rezim indonesiagelap
