Username,Create time,Teks
bangpoerslalu,Wed Feb 26 01:13:25 +0000 2025,Prabowo: Saya akan kejar koruptor sampai ke Antartika Rakyat : Jangan jauh-jauh itu koruptor yg didepan mata malah diam Pertamina Riza Chalid Danantara Bajingan Ahok Anies Pertamax Pertalite Indomobil #IndonesiaGelap https://t.co/hUojrmnkz0
jackjackparrr,Sun Feb 23 03:16:26 +0000 2025,Kebanyakan main sama influencer intinya 6jam pertemuan ini para Pimpinnan Redaksi ini cuma dengerin Prabowo klarifikasi. Udah bacain semua artikel media tentang acara ini semua titik koma nya sama kaya hasil copas. #IndonesiaGelap https://t.co/UyN71nFz59
WargaSipil1312,Mon Feb 24 13:09:51 +0000 2025,Haiii itu gw dan Isteri Isteriku seorang guru SD juga kaya Vokalis Band Sukatani. Soooo #KamiBersamaSukatani #IndonesiaGelap https://t.co/39LgaRDemB
momoelviraa,Thu Feb 20 16:05:10 +0000 2025,Argumen yg sangat apik Mas @irwndfrry Demonstrasi tidak seharusnya dianggap sbg ekspresi kebencian tetapi bentuk kepedulian thd bangsa. #IndonesiaGelap Sc: Youtube Kompas TV https://t.co/upy7xQlnZu
yaniarsim,Thu Feb 27 14:11:12 +0000 2025,Besok Korupsi Apalagi..... Siapkan Mentalmu Indonesia Sedang Tidak Baik2 Saja. #IndonesiaGelap https://t.co/55ExKz5M2T
PaltiWest2024,Sun Feb 23 12:02:16 +0000 2025,Pemerintah Tidak Berpihak Kepada Rakyat: Efisiensi Anggaran Yang Mengambil Hak Rakyat Dan Komunikasi Yang Kasar Kepada Rakyat #IndonesiaGelap https://t.co/TACchQVizi
batagorFKRDN,Thu Feb 20 17:02:46 +0000 2025, Keadilan sosial (belum tentu!) : Kami Belum Tentu - .Feast (Turn the audio on for full experience) #IndonesiaGelap #ArtistBersuara https://t.co/O0G9U8k3B1
Boediantar4,Sun Feb 23 12:45:13 +0000 2025,Bayar polisi POLISI LAGI...POLISI LAGI...POLISI.LAGI...SUDAH SAATNYA RAKYAT BERANI BERSUARA UNTUK MEROBAH.KEAADAAN NEGERI INI ..TUGAS KITA SHARE BERITA INI.SECARA BERULANG ULANG NIATKAN JIHAD FI TSABILILLAH UNTUK PERBAIKAN NEGERI AGAR TDK ADA #IndonesiaGelap https://t.co/BjrjrDaEFB
raffimulyaa,Sat Feb 22 09:51:21 +0000 2025,Jangan remehken perlawanan sekecil apa pun. Panjang umur perjuangan. Masih dalam rangka edukasi Indonesia Gelap di platform sebelah. (lumayan mengikis jiwa) https://t.co/ER1DMF9Dmn
QueenSilence_,Thu Feb 27 23:48:38 +0000 2025,Perusak Bangsa ..️ Salah satu yg bikin INDONESIA GELAP itu NEPO BABY merusak sistem negara dg rantai nepotisme dan perkembangbiakan kejahatan korporasi yg merugikan RAKYAT dg DOUBLE TAX. Sebutkan Nepo Baby yg kamu tau‼️ https://t.co/BoO23wBtuo
